SongID,SongURL
1,b'https://www.youtube.com/watch?v=gHGYEljjY2M'
2,b'https://www.youtube.com/watch?v=--f55NUHGbo'
3,b'https://www.youtube.com/watch?v=oScZuIp6ce8'
4,b'https://www.youtube.com/watch?v=dISqPMADs00'
5,b'https://www.youtube.com/watch?v=PIDYL49mYg4'
6,b'https://www.youtube.com/watch?v=NWVd0vskaH8'
7,b'https://www.youtube.com/watch?v=bVHuZ8xkbyI'
8,b'https://www.youtube.com/watch?v=Sh1ZeWhAtRI'
9,b'https://www.youtube.com/watch?v=xNqSNmSx9uI'
10,b'https://www.youtube.com/watch?v=9Mpv9Wlij5g'
11,b'https://www.youtube.com/watch?v=_TRwZAviLWw'
12,b'https://www.youtube.com/watch?v=N-TLoXBM9ao&list=PLWGsl_6eHr-eQMWEl0A5H2QCuKxUg7b5V'
13,b'https://www.youtube.com/watch?v=7GRZnyJnz0w'
14,b'https://www.youtube.com/watch?v=ZeL5SgXUMUU'
15,b'https://www.youtube.com/watch?v=UEokVJk9MiA'
16,b'https://www.youtube.com/watch?v=hkMaBy6EX0w'
17,b'https://www.youtube.com/watch?v=tOBMGqM5550'
18,b'https://www.youtube.com/watch?v=ctoIZmNI8w8'
19,b'https://www.youtube.com/watch?v=mzB1VGEGcSU'
20,b'https://www.youtube.com/watch?v=sCmSsUFt0FU'
21,b'https://www.youtube.com/watch?v=z2l7Squ65xs'
22,b'https://www.youtube.com/watch?v=pJmErrftUq4'
23,b'https://www.youtube.com/watch?v=EGsGw_P30A8'
24,b'https://www.youtube.com/watch?v=2dQ2-t_v25g'
25,b'https://www.youtube.com/watch?v=laEwOj5qXNo'
26,b'https://www.youtube.com/watch?v=echr1iU8flE'
28,b'https://www.youtube.com/watch?v=t_dLxy58rL0'
29,b'https://www.youtube.com/watch?v=o34TbQOzhkU'
30,b'https://www.youtube.com/watch?v=rruPJjeeIAI'
31,b'https://www.youtube.com/watch?v=WsZdndcWJz8'
32,b'https://www.youtube.com/watch?v=MwxwGWIaHkY'
33,b'https://www.youtube.com/watch?v=lWpvIXirfzc'
34,b'https://www.youtube.com/watch?v=oGYp2S4iNhA'
35,b'https://www.youtube.com/watch?v=EimY5ckxpoE'
36,b'https://www.youtube.com/watch?v=9O1rRecTCkk'
37,b'https://www.youtube.com/watch?v=AM0yU0IR3so'
38,b'https://www.youtube.com/watch?v=87fEGO7lsEQ'
39,b'https://www.youtube.com/watch?v=Pf_8zlQm_nU'
40,b'https://www.youtube.com/watch?v=ktjO9nJ0R0A'
41,b'https://www.youtube.com/watch?v=WGrweacsmDU'
42,b'https://www.youtube.com/watch?v=Hs4oAjwP64I'
43,b'https://www.youtube.com/watch?v=RcZn2-bGXqQ'
44,b'https://www.youtube.com/watch?v=VphSAh2qhPM'
45,b'https://www.youtube.com/watch?v=xZBoHdKUS6w'
46,b'https://www.youtube.com/watch?v=y8buSTwnXIg'
47,b'https://www.youtube.com/watch?v=ZPBRzwIjgv4'
48,b'https://www.youtube.com/watch?v=E2B06UKbk4Q'
49,b'https://www.youtube.com/watch?v=aB0QEeLcWMs'
50,b'https://www.youtube.com/watch?v=_uuMpVf2R8E'
51,b'https://www.youtube.com/watch?v=kp30QZsKc_0'
52,b'https://www.youtube.com/watch?v=-V8S75caCZU'
53,b'https://www.youtube.com/watch?v=47NtaZCck5s'
54,b'https://www.youtube.com/watch?v=SHMUvS4fCls'
55,b'https://www.youtube.com/watch?v=pbK8vHWalmc'
56,b'https://www.youtube.com/watch?v=DDt3u2Ev1cI'
57,b'https://www.youtube.com/watch?v=ey1G42xuAs8'
58,b'https://www.youtube.com/watch?v=Sd221HmEI6s'
59,b'https://www.youtube.com/watch?v=uAoP0CruUx8'
60,b'https://www.youtube.com/watch?v=ItjzNw34yuM'
61,b'https://www.youtube.com/watch?v=sqiQi3C3wEs'
62,b'https://www.youtube.com/watch?v=zUKajJCSFNw'
63,b'https://www.youtube.com/watch?v=cWpCI-WF48A'
64,b'https://www.youtube.com/watch?v=T2iQxedZJcI'
65,b'https://www.youtube.com/watch?v=wmZcb0kjpCk'
66,b'https://www.youtube.com/watch?v=3xgqp9W5WEY'
67,b'https://www.youtube.com/watch?v=A2vn18DVSbU'
68,b'https://www.youtube.com/watch?v=9UbtWBsZqXE'
69,b'https://www.youtube.com/watch?v=WkZD1cnfHFk'
70,b'https://www.youtube.com/watch?v=hipsUsQa_fQ'
71,b'https://www.youtube.com/watch?v=ND4Jo2Z0gEs'
72,b'https://www.youtube.com/watch?v=eVYw98wYcbE'
73,b'https://www.youtube.com/watch?v=2LFjMFFV2yA'
74,b'https://www.youtube.com/watch?v=0YRz_8pMxKs'
75,b'https://www.youtube.com/watch?v=IKqV7DB8Iwg'
76,b'https://www.youtube.com/watch?v=B-qPWh_jDLA'
77,b'https://www.youtube.com/watch?v=LnHoqHscTKE'
78,b'https://www.youtube.com/watch?v=OcJbReYpK7U'
79,b'https://www.youtube.com/watch?v=V6Uo1nNt6LU'
80,b'https://www.youtube.com/watch?v=Nnvrtk9tQV0'
81,b'https://www.youtube.com/watch?v=ITmPPX32DJk'
82,b'https://www.youtube.com/watch?v=bjwMEQ9nfj4'
83,b'https://www.youtube.com/watch?v=U3AydbN1z7A'
84,b'https://www.youtube.com/watch?v=U8TsAh-zYFI'
85,b'https://www.youtube.com/watch?v=MvxjsbZepdc'
86,b'https://www.youtube.com/watch?v=HBuk1HXcz1k'
87,b'https://www.youtube.com/watch?v=dtQ7n_wG_pE'
88,b'https://www.youtube.com/watch?v=5eIiu1CjrTE'
89,b'https://www.youtube.com/watch?v=H8emJWwaWWo'
90,b'https://www.youtube.com/watch?v=OtiAllw_Eiw'
91,b'https://www.youtube.com/watch?v=V-r2lcTB9Lc'
92,b'https://www.youtube.com/watch?v=GGs78ZsLVXk'
93,b'https://www.youtube.com/watch?v=ReUst8xaA0U'
94,b'https://www.youtube.com/watch?v=uIoqrRffsHE'
95,b'https://www.youtube.com/watch?v=souJM4aCk6w'
96,b'https://www.youtube.com/watch?v=iqwFwf9hK1Q'
